date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-12,action-converter,claude-sonnet-4-6,10,3191,297684,20957
2026-06-12,base-mcp,claude-sonnet-4-6,7,1031,106922,15456
2026-06-12,write-tweet,claude-sonnet-4-6,13,10620,404160,22137
2026-06-12,action-converter,claude-sonnet-4-6,12,5647,406978,26475
2026-06-12,heartbeat,claude-sonnet-4-6,11,6491,406046,52480
2026-06-12,agent-buzz,claude-sonnet-4-6,2303,9340,844072,36704
2026-06-12,github-trending,claude-sonnet-4-6,15,8791,402596,24289
2026-06-12,article,claude-sonnet-4-6,1070,5471,654716,21577
2026-06-12,deep-research,claude-sonnet-4-6,4502,32588,1459510,87868
2026-06-12,heartbeat,claude-sonnet-4-6,9,6700,330840,36018
2026-06-12,article,claude-sonnet-4-6,27,7967,721364,25819
2026-06-12,thread-writer,claude-sonnet-4-6,10,8815,297955,22083
2026-06-12,thread-writer,claude-sonnet-4-6,13,8716,419016,23039
2026-06-12,thread-writer,claude-sonnet-4-6,14,7717,454899,23050
2026-06-13,aixbt-pulse,claude-sonnet-4-6,1462,10931,640911,31117
2026-06-13,price-alert,claude-sonnet-4-6,7,1588,180673,16189
2026-06-13,heartbeat,claude-sonnet-4-6,9,5509,334243,36104
2026-06-13,heartbeat,claude-sonnet-4-6,9,5621,334473,36400
2026-06-13,heartbeat,claude-sonnet-4-6,10,4579,385696,35758
2026-06-14,heartbeat,claude-sonnet-4-6,9,5595,335843,37652
2026-06-14,heartbeat,claude-sonnet-4-6,10,3956,374346,33300
2026-06-14,heartbeat,claude-sonnet-4-6,9,5683,329758,35339
2026-06-15,token-report,claude-sonnet-4-6,8,1707,218431,17577
2026-06-15,monitor-runners,claude-sonnet-4-6,25978,28265,832623,79037
2026-06-15,heartbeat,claude-sonnet-4-6,8,4147,300326,19447
2026-06-17,heartbeat,claude-sonnet-4-6,14,7165,604433,37133
2026-06-18,list-digest,claude-sonnet-4-6,2303,13408,850157,39715
2026-06-18,framework-watch,claude-sonnet-4-6,16,17702,647202,38094
2026-06-18,hn-digest,claude-sonnet-4-6,194,13757,587601,32006
2026-06-19,heartbeat,claude-sonnet-4-6,343,11140,411912,41196
2026-06-20,heartbeat,claude-sonnet-4-6,15,9481,673951,39368
2026-06-20,heartbeat,claude-sonnet-4-6,10,6018,379124,35573
2026-06-20,heartbeat,claude-sonnet-4-6,9,4571,329063,34274
2026-06-21,heartbeat,claude-sonnet-4-6,8,6010,278513,35682
2026-06-21,heartbeat,claude-sonnet-4-6,10,4806,379344,34644
